,January,February,March,April,May,June,July,August,September,October,November,December
Solar2020SOEC,3186.1578907650405,3679.581119987916,4060.6162083896984,7588.88052406107,5929.1973504985435,4844.275631267195,717.9584115953397,555.394075532989,1292.0850361130683,2232.9744769865074,1407.3718138258087,1181.1103399888596
Wind2020AEC,152.07221220067518,131.23561735335053,255.21957940630233,165.64679836620198,254.58586589066198,165.84976077053145,29.860442940137986,10.172406583378212,76.9036927947246,155.39532647686406,181.99142904325896,151.71225963913446
Wind2020PEMEC,164.98400380261933,142.3782641097671,276.88916633702615,179.71114917087954,276.20164695685025,179.93134423218035,32.395763567130835,11.036101481966929,83.43325161691821,168.58926929093744,197.44353150919605,164.59348923113643
Wind2020SOEC,194.31449336752942,167.68995550705904,326.1139070191641,211.65979791236924,325.3041619714014,211.91913876234574,38.15501042350965,12.99807507876105,98.26582968214811,198.56069494265964,232.5446037774976,193.8545539833385
Total2020AEC,2645.5870832341852,3010.907798213458,3433.0931337982397,6104.770686761822,4894.827270628652,3957.0219939361627,591.7409389712734,444.8286396091956,1088.100677578865,1902.9405693358697,1283.412848559109,1076.0594822391115
Total2020PEMEC,2870.2124016219936,3266.5509131561107,3724.582173460355,6623.100273373674,5310.425812474481,4292.995559459045,641.9830941669476,482.59710900997635,1180.48658416575,2064.5109950341985,1392.381864002807,1167.423023183942
Total2020SOEC,3380.47238413257,3847.271075494975,4386.730115408863,7800.54032197344,6254.501512469944,5056.194770029542,756.1134220188494,568.3921506117499,1390.3508657952164,2431.5351719291666,1639.916417603306,1374.9648939721983
Solar2021AEC,1098.347656606578,2509.0383597570176,6203.078457443994,3361.9159670472322,6078.026805273692,1677.6689651282857,612.273177216162,610.3482230785543,690.1240577961304,2555.5857319737274,816.4813995813242,1130.6718511788154
Solar2021PEMEC,1191.6035897146837,2722.069918604312,6729.754930245843,3647.3616623625635,6594.085684966741,1820.1125565071027,664.2586356590436,662.1702420191863,748.7194966656133,2772.569426197912,885.8052919986067,1226.672291373243
Solar2021SOEC,1403.4442278861832,3205.993459689523,7926.155806733992,4295.781513449241,7766.367584516384,2143.6881221083654,782.349059776207,779.8893961559305,881.8251849617224,3265.4706575219857,1043.2817883539144,1444.747365395153
Wind2021AEC,96.5524518360567,131.35962567754484,352.4840855609751,328.79367199907836,204.78658000004992,93.2239870646803,41.16943768609003,93.89903546109913,17.768700602530785,45.452929960308495,12.394127157155758,86.56274917719763
Wind2021PEMEC,104.7503015202502,142.51280144261943,382.41197961803897,356.7101158480567,222.17411981137494,101.1392312494173,44.66495598019201,101.87159507572076,19.27736386123623,49.312140994674316,13.446458708235022,93.91241656016724
Wind2021SOEC,123.37257734607248,167.84841058797397,450.39633155013485,420.12524755437795,261.6717411111749,119.11953902709149,52.60539259889281,119.98210086696001,22.70445076990045,58.078743838171974,15.836940256365693,110.60795728197475
Total2021AEC,1194.9001084426347,2640.3979854345625,6555.562543004969,3690.709639046311,6282.813385273741,1770.8929521929663,653.442614902252,704.2472585396533,707.892758398661,2601.038661934036,828.87552673848,1217.2346003560128
Total2021PEMEC,1296.353891234934,2864.582720046931,7112.166909863881,4004.0717782106203,6816.259804778117,1921.25178775652,708.9235916392357,764.041837094907,767.9968605268494,2821.8815671925863,899.2517507068416,1320.5847079334105
Total2021SOEC,1526.8168052322558,3373.8418702774966,8376.552138284127,4715.90676100362,8028.039325627559,2262.807661135457,834.9544523750999,899.8714970228906,904.5296357316226,3323.5494013601574,1059.1187286102802,1555.3553226771278
Solar2022AEC,1088.1455146760325,4955.919011897219,8358.40328161878,10840.427229203267,8862.114737207681,3714.5059890362263,1756.7844710685017,630.3939962474285,1081.5070710000055,1672.2614081973827,1249.5979984069058,270.74579149963597
Solar2022PEMEC,1180.535228186262,5376.704588379059,9068.0790319449,11760.840861871471,9614.55844131022,4029.888573011001,1905.9454167252613,683.9180147967386,1173.333143066044,1814.245867383953,1355.6959416678696,293.7336417213032
Solar2022SOEC,1390.4081576415972,6332.563181868669,10680.181970957328,13851.657015093066,11323.813275320928,4746.313208212957,2244.780157476419,805.5034396494921,1381.9257018333408,2136.778466029989,1596.7085535199353,345.9529558050904
Wind2022AEC,12.746138605864754,69.02030447485933,523.6405325724078,588.6247542593671,372.3171269200183,158.03980463663405,131.53025309719723,29.30914787843639,97.89810296069841,235.53357722452836,206.8967906595552,47.25748596834354
Wind2022PEMEC,13.828357921457046,74.88051900574361,568.1005777908199,638.6023277342192,403.9289584509633,171.45827861521622,142.69791609601586,31.79766043415269,106.21020604226715,255.53171113981853,224.46349930046085,51.26991402225949
Wind2022SOEC,16.28673266304941,88.19261127343137,669.0962360647433,752.1316304425249,475.7385510644679,201.93975036903242,168.06643451308537,37.45057784466873,125.0920204497813,300.95957089800845,264.36812139832057,60.38456540399452
Total2022AEC,1100.8916532818973,5024.939316372078,8882.043814191187,11429.051983462638,9234.4318641277,3872.5457936728603,1888.3147241656986,659.7031441258648,1179.405173960704,1907.794985421911,1456.4947890664607,318.0032774679795
Total2022PEMEC,1194.363586107719,5451.585107384802,9636.179609735722,12399.443189605692,10018.487399761185,4201.346851626216,2048.643332821277,715.7156752308911,1279.5433491083108,2069.7775785237714,1580.1594409683305,345.0035557435627
Total2022SOEC,1406.6948903046468,6420.755793142101,11349.278207022073,14603.788645535593,11799.551826385396,4948.252958581988,2412.846591989504,842.9540174941607,1507.0177222831217,2437.7380369279977,1861.0766749182558,406.33752120908497
Solar2023AEC,949.9380322169403,3707.6381349176613,10957.879457687764,12882.857740573441,6673.985186020399,3681.4363618225166,1067.890902136547,927.4604038609043,1406.8562821233306,3922.0432891353707,1320.4484592174222,599.197662757034
Solar2023PEMEC,1030.5931481598882,4022.437599203123,11888.265449378234,13976.685284584395,7240.644305588169,3994.011147260278,1158.5608843934237,1006.2070419245662,1526.3063438130475,4255.046964627997,1432.5620076415428,650.0729360099898
Solar2023SOEC,1213.809707832757,4737.537616839234,14001.734862601032,16461.429335177178,8527.869959914955,4704.057573439883,1364.5272638411436,1185.088293822267,1797.6496938242558,5011.499758339641,1687.2396978889283,765.6414579673212
Wind2023AEC,69.89362099038489,202.58208993011968,662.9301961558361,591.85408602203,607.8249621904249,420.8195942678493,41.6282767787395,17.127077412448543,50.51276171635003,130.88264771886685,36.315523938552225,54.771629399141005
Wind2023PEMEC,75.82798503673833,219.78245605626194,719.2167222445393,642.1058480427685,659.4327419990459,456.5495598188932,45.16275310900984,18.581263230486627,54.80158110736088,141.99532535537443,39.39891748050478,59.42205076321902
Wind2023SOEC,89.30851570993626,258.8548926884863,847.0774728657908,756.2579988059272,776.6652294655429,537.7139260089186,53.19168699505604,21.884598915906473,64.54408441533616,167.23893875188543,46.403169477038965,69.9859708989024
Total2023AEC,1019.8316532073251,3910.220224847781,11620.8096538436,13474.71182659547,7281.810148210824,4102.2559560903655,1109.5191789152866,944.587481273353,1457.3690438396804,4052.9259368542375,1356.7639831559743,653.969292156175
Total2023PEMEC,1106.4211331966264,4242.220055259386,12607.482171622776,14618.791132627164,7900.077047587215,4450.56070707917,1203.7236375024338,1024.7883051550527,1581.1079249204083,4397.042289983371,1471.9609251220477,709.4949867732087
Total2023SOEC,1303.1182235426934,4996.39250952772,14848.812335466826,17217.687333983104,9304.535189380498,5241.7714994488015,1417.7189508361996,1206.9728927381732,1862.1937782395921,5178.738697091526,1733.6428673659675,835.6274288662237
